"","tot","Freq"
"1","a_indus->a_indus->-1->-1->-1",1
"2","a_indus->ble->a_indus->ble->orge",1
"3","a_indus->ble->ble->ble->gel_sp",1
"4","a_indus->ble->ble->leg_fl->ble",1
"5","a_indus->ble->colz->ble->pt",1
"6","a_indus->ble->div->leg_gr->orge",1
"7","a_indus->ble->leg_fl->ble->orge",1
"8","a_indus->ble->mais->ble->a_indus",1
"9","a_indus->ble->mais->ble->mais",1
"10","a_indus->ble->olea->ble->orge",1
"11","a_indus->ble->orge->colz->ble",1
"12","a_indus->ble->orge->div->div",1
"13","a_indus->ble->orge->gel_sp->cer_2nd",1
"14","a_indus->ble->orge->leg_fl->ble",1
"15","a_indus->ble->orge->leg_gr->a_indus",1
"16","a_indus->ble->orge->orge->prot",1
"17","a_indus->ble->orge->prot->leg_fl",1
"18","a_indus->ble->orge->prot->mais",1
"19","a_indus->ble->plte_fb->a_indus->ble",1
"20","a_indus->cer_2nd->orge->a_indus->cer_2nd",1
"21","a_indus->cer_2nd->plte_fb->a_indus->ble",1
"22","a_indus->fou->a_indus->ble->orge",1
"23","a_indus->orge->leg_fl->ble->a_indus",1
"24","a_indus->orge->orge->ble->a_indus",1
"25","a_indus->orge->prot->ble->a_indus",1
"26","ble->a_indus->ble->ble->prot",1
"27","ble->a_indus->ble->leg_fl->ble",1
"28","ble->a_indus->ble->orge->cer_2nd",1
"29","ble->a_indus->ble->orge->mais",1
"30","ble->a_indus->ble->orge->olea",1
"31","ble->a_indus->ble->plte_fb->ble",1
"32","ble->a_indus->cer_2nd->orge->a_indus",1
"33","ble->ble->ble->ble->ble",1
"34","ble->ble->ble->ble->div",1
"35","ble->ble->ble->colz->ble",1
"36","ble->ble->ble->colz->orge",1
"37","ble->ble->ble->div->ble",1
"38","ble->ble->ble->mais->ble",1
"39","ble->ble->cer_2nd->orge->a_indus",1
"40","ble->ble->cer_2nd->orge->plte_fb",1
"41","ble->ble->colz->ble->ble",1
"42","ble->ble->div->ble->ble",1
"43","ble->ble->leg_fl->ble->a_indus",1
"44","ble->ble->leg_fl->ble->orge",1
"45","ble->ble->orge->ble->a_indus",1
"46","ble->ble->orge->colz->pt",1
"47","ble->ble->orge->gel_sp->div",1
"48","ble->ble->orge->gel_sp->gel_sp",1
"49","ble->ble->orge->olea->cer_2nd",1
"50","ble->ble->orge->orge->div",1
"51","ble->ble->plte_fb->orge->-1",1
"52","ble->ble->plte_fb->orge->orge",1
"53","ble->cer_2nd->colz->ble->ble",1
"54","ble->cer_2nd->div->gel_sp->gel_sp",1
"55","ble->colz->ble->ble->mais",1
"56","ble->colz->ble->cer_2nd->ble",1
"57","ble->colz->ble->orge->a_indus",1
"58","ble->colz->ble->plte_fb->ble",1
"59","ble->colz->ble->prot->orge",1
"60","ble->colz->colz->orge->orge",1
"61","ble->colz->orge->orge->orge",1
"62","ble->div->div->div->div",1
"63","ble->gel_sp->ble->orge->orge",1
"64","ble->leg_fl->ble->colz->orge",1
"65","ble->leg_fl->ble->orge->a_indus",1
"66","ble->mais->gel_sp->gel_sp->gel_sp",1
"67","ble->mais->mais->orge->ble",1
"68","ble->orge->a_indus->ble->a_indus",1
"69","ble->orge->a_indus->ble->colz",1
"70","ble->orge->a_indus->ble->mais",1
"71","ble->orge->ble->orge->ble",1
"72","ble->orge->cer_2nd->orge->fou",1
"73","ble->orge->colz->ble->a_indus",1
"74","ble->orge->colz->ble->prot",1
"75","ble->orge->colz->ble->pt",1
"76","ble->orge->colz->gel_sp->orge",1
"77","ble->orge->colz->orge->orge",1
"78","ble->orge->div->ble->orge",1
"79","ble->orge->div->div->div",1
"80","ble->orge->div->gel_sp->gel_sp",1
"81","ble->orge->div->orge->plte_fb",1
"82","ble->orge->gel_sp->ble->a_indus",1
"83","ble->orge->gel_sp->gel_sp->gel_sp",1
"84","ble->orge->leg_fl->ble->a_indus",1
"85","ble->orge->leg_fl->ble->ble",1
"86","ble->orge->leg_fl->ble->mais",1
"87","ble->orge->leg_fl->orge->orge",1
"88","ble->orge->olea->ble->prot",1
"89","ble->orge->orge->ble->prot",1
"90","ble->orge->orge->div->prot",1
"91","ble->orge->orge->gel_sp->ble",1
"92","ble->orge->orge->orge->-1",1
"93","ble->orge->orge->orge->gel_sp",1
"94","ble->orge->orge->orge->mais",1
"95","ble->orge->orge->orge->plte_fb",1
"96","ble->orge->plte_fb->ble->orge",1
"97","ble->orge->plte_fb->gel_sp->ble",1
"98","ble->orge->plte_fb->mais->ble",1
"99","ble->orge->plte_fb->orge->ble",1
"100","ble->orge->plte_fb->orge->plte_fb",1
"101","ble->orge->prot->ble->ble",1
"102","ble->orge->prot->ble->mais",1
"103","ble->plte_fb->a_indus->ble->orge",1
"104","ble->plte_fb->orge->orge->cer_2nd",1
"105","ble->prot->ble->ble->prot",1
"106","cer_2nd->ble->a_indus->ble->ble",1
"107","cer_2nd->ble->ble->olea->prot",1
"108","cer_2nd->ble->gel_sp->gel_sp->ble",1
"109","cer_2nd->ble->gel_sp->gel_sp->gel_sp",1
"110","cer_2nd->ble->mais->mais->orge",1
"111","cer_2nd->ble->olea->fou->ble",1
"112","cer_2nd->ble->orge->colz->fou",1
"113","cer_2nd->ble->orge->fou->fou",1
