parcelle,jannat
9300100000A0019,"1930"
9300100000A0008,"1963"
9300100000A0010,"1929"
9300100000A0011,"1925"
9300100000A0013,"1926"
9300100000A0014,"1966"
9300100000A0015,"1963"
9300100000A0317,"1954"
9300100000A0317,"0000"
9300100000A0317,"0000"
9300100000A0317,"0000"
9300100000A0317,"0000"
9300100000A0318,"0000"
9300100000A0021,"1974"
9300100000A0021,"0000"
9300100000A0022,"1973"
9300100000A0024,"1969"
9300100000A0025,"1970"
9300100000A0026,"1976"
9300100000A0295,"1972"
9300100000A0031,"1963"
9300100000A0033,"1952"
9300100000A0037,"1954"
9300100000A0038,"1949"
9300100000A0040,"1958"
9300100000A0075,"1928"
9300100000A0077,"1976"
9300100000A0078,"2019"
9300100000A0279,"1928"
9300100000A0081,"1933"
9300100000A0082,"1958"
9300100000A0084,"1962"
9300100000A0316,"1920"
9300100000A0087,"1930"
9300100000A0088,"2008"
9300100000A0289,"1928"
9300100000A0090,"1972"
9300100000A0091,"1925"
9300100000A0092,"1977"
9300100000A0093,"1925"
9300100000A0093,"1925"
9300100000A0095,"2003"
9300100000A0097,"1952"
9300100000A0098,"1952"
9300100000A0099,"1950"
9300100000A0102,"1973"
9300100000A0103,"1940"
9300100000A0104,"1930"
9300100000A0105,"1970"
9300100000A0106,"1955"
9300100000A0107,"1950"
9300100000A0108,"1950"
9300100000A0109,"1930"
9300100000A0110,"1954"
9300100000A0111,"1955"
9300100000A0112,"1970"
9300100000A0112,"1970"
9300100000A0112,"1970"
9300100000A0112,"1970"
9300100000A0112,"1970"
9300100000A0113,"1958"
9300100000A0115,"1967"
9300100000A0115,"0000"
9300100000A0116,"1956"
9300100000A0117,"1975"
9300100000A0118,"1958"
9300100000A0119,"1977"
9300100000A0120,"1928"
9300100000A0123,"1923"
9300100000A0124,"0000"
9300100000A0130,"1928"
9300100000A0133,"1930"
9300100000A0133,"1930"
9300100000A0134,"1920"
9300100000A0135,"1958"
9300100000A0138,"1923"
9300100000A0142,"1925"
9300100000A0143,"1957"
9300100000A0144,"1952"
9300100000A0145,"1955"
9300100000A0147,"1972"
9300100000A0148,"1975"
9300100000A0149,"1927"
9300100000A0150,"1925"
9300100000A0153,"1950"
9300100000A0154,"1950"
9300100000A0156,"1951"
9300100000A0157,"1965"
9300100000A0158,"1950"
9300100000A0159,"1950"
9300100000A0160,"1977"
9300100000A0164,"1959"
9300100000A0166,"1956"
9300100000A0172,"1970"
9300100000A0173,"1972"
9300100000A0175,"1967"
9300100000A0177,"1922"
9300100000A0178,"1977"
9300100000A0181,"1979"
9300100000A0182,"1980"
9300100000A0183,"1973"
9300100000A0184,"1931"
9300100000A0186,"1970"
9300100000A0187,"1974"
930010000AJ0187,"1967"
9300100000A0190,"1961"
9300100000A0198,"1920"
9300100000A0199,"1961"
9300100000A0200,"1967"
9300100000A0201,"1958"
9300100000A0203,"1962"
9300100000A0206,"1950"
9300100000A0207,"1970"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0287,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0212,"1964"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
9300100000A0405,"2002"
