"texte","livret"
"Rue de la liberte 11",1
"Rue de la liberte 13",1
"Rue de la liberte 15",1
"Rue de la liberte 15bis",1
"Rue de la liberte 1?",1
"Rue de la liberte i9",1
"Rue de la liberte 21",1
"Rue de la liberte 23",1
"Rue de la liberte 25",1
"Rue de la liberte a?",1
"Rue de la liberte 27bis",1
"Rue de la liberte 29",1
"Rue de la liberte 31",1
"Rue de la liberte 33",1
"Rue de la liberte 35.",1
"Rue de la liberte 37",1
"Rue de la liberte 9",1
"Rue de la liberte 41",1
"Rue de la liberte 41 bis",1
"Rue de la liberte 45.",1
"Rue de la liberte 45 bis",1
"Rue de la liberte 47 bis",1
"Rue de la liberte 49",1
"Rue de la liberte 51",1
"Rue de la liberte 5a.",1
"Rue de la liberte 55.",1
"Rue de la liberte 57",1
"Rue de la liberté 59",1
"Rue de la liberté 59bis",1
"Allée Paul Lafargue",1
"",1
"Rue de lion 3",1
"Rue de lion Fbis:",1
"Rue de lion 4",1
"Rue de lion 6",1
"Rue de lion Tf",1
"Rue de lion £",1
"Rue de lion o",1
"Rue de lion 10",1
"Rue de lion 11",1
"Rue de lion Libis",1
"Rue de lion 1?",1
"Rue du lion 13",1
"Rue du lion 14",1
"Rue du lion 15",1
"Rue de lion 16",1
"Rue de lion 1?",1
"Rue de lion 19",1
"Rue de lion 20",1
"Rue de lion 21",1
"Rue de lion 23",1
"Rue de lion 25",1
"Rue Edouard Vaillant 22",1
"Rue Edouard Vaillant 23",1
"Rue Edouard Vadlant 26",1
"Rue Edouard Vadlant 31",1
"Rue Edouard Vaillant B32)",1
"Villa Brechet Zz",1
"Rue Carnot 63 bis",1
"Rue Carnot 127",1
"Rue Carnot 132",1
"Rue Carnot 133",1
"Rue Carnot 134",1
"Rue Carnot 135",1
"Rue Carnot 136",1
"Rue Carnot 137",1
"Rue Carnot 138",1
"Rue Carnot 140",1
"Rue Carnot 147",1
"Rue Carnot 143",1
"Rue Carnot 144",1
"Rue Carnot 145 €",1
"Ecole Ohmpe de Goupes 13-15",3
"Avenue Mar Dornmoy 7",3
"Avenue Suzanne Buisson 25",3
"Avenue Jean Koulin 34",3
"Route d‘Aulnay 66",3
"Route d'Aulnay 87 a 109",3
"Rue des Floralies",3
"Rue Mozart",3
"Les Galiottes",3
"",3
"SAULE BLANC",3
"Avenue de Yerdunm Fj",3
"Avenue de Yerdunm 13",3
"Place Neuburger",3
"Rue Louis Auguste Blanqui23&",3
"Rue Louis Auguste Blanquiz4o",3
"Rue Louis Auguste Blanquiz4a2",3
"Avenue Anatole France 36",3
"Avenue Anatole France 38",3
"Avenue Anatole France 40",3
"Avenue Anatole France 42",3
"Avenue Anatole France 42 bie",3
"Avenue Anatole France 46 ter",3
"Avenue Anatole France 50",3
"Avenue Anatole France 52",3
"Avenue Anatole France 52 bis",3
"Avenue Anatole France 54",3
"Avenue Anatole France 56",3
"Avenue Anatole France 58",3
"Avenue Anatole France 60",3
"Avenue Anatole France 64",3
"Avenue Anatole France 62",3
"Avenue des sciences 5",3
"Avenue des sciences ]",3
"Avenue des sciences 13 bie",3
"Avenue des sciences 15.",3
"Avenue des sciences 21",3
"Avenue des sciences 23",3
"Avenue des sciences 25",3
"Avenue des sciences 33",3
"Avenue des sciences 35",3
"Avenue des sciences 37",3
"Avenue des sciences S53bis",3
"Avenue des sciences 55.",3
"Avenue des sciences 57",3
"Allee des Arts 15",3
"Allee des Arts 14B",3
"Allee des Arts 6",3
"Allee des Arts 8",3
"Allee des Arts 4",3
"Rue Edouard Vaillant 230",3
"Rue Carnot id?",1
"Rue Carnot 1¢6",1
"Rue Carnot 145",1
"Rue Carnot 150",1
"Rue Carnot 152",1
"Rue Carnot 154",1
"Rue Carnot 156",1
"cours de la Republique 2",1
"cours de la Republique 4",1
"cours de la Republique 5",1
"cours de la Republique 7",1
"cours de la Republique This",1
"cours de la Republique 13",1
"cours de la Republique 15",1
"cours de la Republique 19",1
"cours de la Republique 25",1
"Square du & mai 1945 6",1
"Place Albert Thomas lib:",1
"Avenue de la Republique 96",1
"Avenue dela Republique 98",1
"Avenue dela Republique $100",1
"Avenue dela Republique 102",1
"Avenue de la Republique 102bis",1
"Avenue dela Republique § 102ter",1
"Avenue delaRepublique $104",1
"Avenue dela Republique 106",1
"Avenue delaRepubliqgue $108",1
"Avenue dela Republique 110",1
"Avenue dela Republique 116",1
"Avenue delaRepubliqgue 161",1
"Avenue dela Republique $163",1
"Square Frances Mitterrand",1
"Rue Jules Guesde 58",1
"Rue Jules Guesde 60",1
"Rue Salengro Fi",1
"Rue Salengro 4",1
"Rue Salengro 6",1
"Rue Salengro Ba 12",1
"Rue Salengro 14",1
"Rue Salengro Bibliotheque",1
"Rue Salengro Gonservatore",1
"Rue Salenero Ecole de Musique",1
"Rue Salengro a?",1
"Rue Salengro 41",1
"Rue Salengro Fab",1
"Rue Salengro 61",1
"Rue Salengro 66",1
"Rue Salengro To",1
"Rue Salengro SO",1
"Rue Salengro Brh=",1
"Rue Salengro 92",1
"Rue Saleng¢ro 100",1
"Rue Salengro 102",1
"Rue Salengro 104",1
"Rue Salengro 106",1
"Rue Salengro 112",1
"Rue Saleng¢ro 114",1
"Rue Salengro iff",1
"Allee du moulin",1
"Rue Pasteur §",1
"Q:",1
"Ere",1
"Route de Villenvomble 20",3
"Route de Villemomble 42",3
"Route de Villenomble Piscine Tournesol",3
"Route de Villenvomble Ecole Pierre Cure",3
